lead_train,lead_delay,target_train,target_delay,delta_time,station_code,target_delayed
12508,284,12516,295,11.0,RJY,True
12510,49,15648,74,25.0,RNY,True
15630,112,12516,86,34.0,RNY,True
15630,112,12508,106,54.0,RNY,True
12516,86,12508,106,20.0,RNY,True
12509,329,15945,148,59.0,RNY,True
13182,60,12504,152,32.0,RPH,True
12516,91,12508,113,22.0,RPH,True
15629,160,15630,102,2.0,RPH,True
15629,160,22501,236,16.0,RPH,True
15629,160,12503,393,53.0,RPH,True
15630,102,22501,236,14.0,RPH,True
15630,102,12503,393,51.0,RPH,True
22501,236,12503,393,37.0,RPH,True
12509,201,12515,177,36.0,RPH,True
12508,310,12516,352,42.0,SA,True
05639,1,12516,2,1.0,SCL,False
05639,1,14037,2,1.0,SCL,False
05639,1,12508,18,17.0,SCL,True
12516,2,12508,18,16.0,SCL,True
14037,2,12508,18,16.0,SCL,True
15946,12,20503,13,1.0,SLGR,True
12509,9,22501,11,2.0,SMVB,True
15909,59,15910,88,29.0,SV,True
22512,125,15629,77,12.0,TATA,True
15945,70,15909,49,39.0,THB,True
12508,310,12516,363,53.0,TUP,True
12509,93,22501,103,10.0,VSKP,True
12509,93,12515,77,44.0,VSKP,True
22501,103,12515,77,34.0,VSKP,True
15630,136,12508,254,58.0,VSKP,True
12508,254,12516,261,7.0,VSKP,True
12509,105,22501,113,8.0,VZM,True
12509,105,12515,87,42.0,VZM,True
22501,113,12515,87,34.0,VZM,True
12508,248,12516,255,7.0,VZM,True
